"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Очень плохая училка";"Bad Teacher";"2011";"1";"2017-08-04 21:04:08"
"Бесславные ублюдки";"Inglourious Basterds";"2009";"9";"2017-08-04 21:03:37"
"Великий Гэтсби";"The Great Gatsby";"2013";"5";"2017-08-04 21:03:23"
"Доктор Стрэндж";"Doctor Strange";"2016";"3";"2017-08-04 21:02:23"
"Люди Икс: Апокалипсис";"X-Men: Apocalypse";"2016";"1";"2017-08-04 21:02:18"
"Робот по имени Чаппи";"Chappie";"2015";"2";"2017-08-04 21:02:05"
"Отряд самоубийц (2016)";"Suicide Squad";"2016";"2";"2017-08-04 21:02:03"
"Дэдпул";"Deadpool";"2016";"8";"2017-08-04 21:01:59"
"Kingsman: Секретная служба";"Kingsman: The Secret Service";"2015";"4";"2017-08-04 21:01:35"
"Связь (2013)";"Coherence";"2013";"3";"2017-08-04 21:01:07"
"Анна Каренина (2012)";"Anna Karenina";"2012";"2";"2017-08-04 21:00:50"
"Воображариум";"Imaginaerum";"2012";"3";"2017-08-04 20:59:48"
"Друзья";"Friends";"1994";"8";"2017-08-04 20:59:34"
"Аватар: Легенда об Аанге";"Avatar: The Last Airbender; Avatar: The Legend of Aang";"2005";"9";"2017-08-04 20:59:29"
"Клиника";"Scrubs";"2001";"9";"2017-08-04 20:59:00"
"Декстер";"Dexter";"2006";"6";"2017-08-04 20:58:58"
"Во все тяжкие";"Breaking Bad";"2008";"7";"2017-08-04 20:58:31"
"Пятьдесят оттенков серого (2015)";"Fifty Shades of Grey";"2015";"1";"2017-08-04 20:57:34"
"Бегущий в лабиринте";"The Maze Runner";"2014";"4";"2017-08-04 20:57:23"
"Багровый пик";"Crimson Peak";"2015";"4";"2017-08-04 20:57:16"
"Фокус (2015)";"Focus";"2015";"5";"2017-08-04 20:56:46"
"Мистер Робот";"Mr. Robot";"2015";"7";"2017-08-04 20:56:41"
"Агенты А.Н.К.Л.";"The Man from U.N.C.L.E.";"2015";"6";"2017-08-04 20:56:27"
"Гравити Фолз";"Gravity Falls";"2012";"6";"2017-08-04 20:55:52"
"Из машины";"Ex Machina";"2014";"8";"2017-08-04 20:55:48"
"Ультраамериканцы";"American Ultra";"2015";"8";"2017-08-04 20:55:14"
"Последний человек на Земле (2015)";"The Last Man on Earth";"2015";"3";"2017-08-04 20:54:54"
"Шеф Адам Джонс";"Burnt";"2015";"4";"2017-08-04 20:54:46"
"Джессика Джонс";"Jessica Jones";"2015";"10";"2017-08-04 20:54:27"
"Сотня";"The 100";"2014";"4";"2017-08-04 20:53:01"
"Конь БоДжек";"BoJack Horseman";"2014";"8";"2017-08-04 20:52:49"
"Зверополис";"Zootopia";"2016";"7";"2017-08-04 20:52:44"
"Образцовый самец 2";"Zoolander 2; Зуландер 2";"2016";"3";"2017-08-04 20:51:25"
"большие глаза";"";"0";"2";"2017-08-04 20:50:58"
"крампус";"";"0";"1";"2017-08-04 20:50:55"
"В активном поиске";"How to Be Single; Как быть одиноким";"2016";"3";"2017-08-04 20:50:27"
"Комната (2015)";"Room";"2015";"9";"2017-08-04 20:50:06"
"Игра в имитацию";"The Imitation Game";"2014";"5";"2017-08-04 20:49:43"
"Иллюзия обмана 2";"Now You See Me 2";"2016";"5";"2017-08-04 20:49:26"
"Неоновый демон";"The Neon Demon";"2016";"5";"2017-08-04 20:49:19"
"Мир дикого запада";"Westworld; Западный мир";"2016";"8";"2017-08-04 20:48:57"
"Лобстер";"The Lobster";"2015";"8";"2017-08-04 20:48:49"
"Нерв ";"Nerve";"2016";"4";"2017-08-04 20:48:42"
"Дом странных детей мисс Перегрин (2016)";"Miss Peregrine's Home for Peculiar Children";"2016";"2";"2017-08-04 20:48:20"
"Отмель";"The Shallows";"2016";"3";"2017-08-04 20:48:04"
"Аномализа";"Anomalisa";"2015";"3";"2017-08-04 20:47:35"
"Лекарство от здоровья";"A Cure for Wellness";"2017";"7";"2017-08-04 20:47:32"
"ОА";"The OA";"2016";"4";"2017-08-04 20:47:13"
"Очень странные дела";"Stranger Things";"2016";"9";"2017-08-04 20:47:09"
"Полный расколбас";"Sausage Party";"2016";"2";"2017-08-04 20:47:00"
"Девушка в поезде (2016)";"The Girl on the Train";"2016";"6";"2017-08-04 20:46:29"
"Призрак в доспехах (2017)";"Ghost in the Shell";"2017";"6";"2017-08-04 20:46:06"
"Сплит";"Split";"2016";"4";"2017-08-04 20:45:57"
"На пятьдесят оттенков темнее (2017)";"Fifty Shades Darker";"2017";"1";"2017-08-04 20:45:37"
"Стражи Галактики. Часть 2";"Guardians of the Galaxy Vol. 2";"2017";"8";"2017-08-04 20:32:05"
"Одержимость (2013)";"Whiplash";"2013";"8";"2017-08-04 20:32:03"
"Эксперимент «Офис»";"The Belko Experiment";"2016";"5";"2017-08-04 20:31:22"
"Живое (2017)";"Life";"2017";"4";"2017-08-04 20:31:14"
